,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
730,2332,Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,2001-03-21,Konami,3.0,362.0,362.0,"Adventure, Platform, RPG",2100.0,62.0,742.0,272.0
731,2337,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,2004-10-07,"Nintendo, Intelligent Systems Co., Ltd.",3.7,503.0,503.0,"RPG, Strategy, Tactical, Turn Based Strategy",3700.0,124.0,1200.0,395.0
732,2346,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,2013-09-30,"WB Games, ""Travellers Tales""",3.6,522.0,522.0,"Adventure, Brawler, Puzzle",6000.0,65.0,592.0,126.0
733,2346,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,2013-09-30,"WB Games, ""Travellers Tales""",3.6,522.0,522.0,"Adventure, Brawler, Puzzle",6000.0,65.0,592.0,126.0
734,2349,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.89,2009-11-10,"Infinity Ward, Activision",3.8,1000.0,1000.0,Shooter,14000.0,34.0,666.0,276.0
735,2351,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89,2012-02-07,"38 Studios, Electronic Arts",3.2,99.0,99.0,"Brawler, RPG",1200.0,22.0,365.0,106.0
736,2352,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0.0,0.08,0.89,2011-11-08,"Sledgehammer Games, Activision",3.2,587.0,587.0,"Adventure, Shooter, Tactical",10000.0,27.0,492.0,195.0
737,2359,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88,2008-04-29,"Rockstar North, Rockstar Games",3.8,1100.0,1100.0,"Adventure, Racing, Shooter",14000.0,258.0,1900.0,721.0
738,2364,Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,2012-01-26,"Tose, Capcom",3.2,469.0,469.0,"Adventure, Shooter",2900.0,55.0,939.0,297.0
739,2369,Just Cause 3,XOne,2015,Action,Square Enix,0.42,0.38,0.0,0.07,0.88,2015-11-30,"Avalanche Studios, Square Enix",3.1,269.0,269.0,Adventure,4900.0,93.0,1000.0,155.0
740,2372,Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88,2011-09-14,Bandai Namco Entertainment,3.8,211.0,211.0,Fighting,1700.0,7.0,140.0,95.0
741,2390,Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87,2012-02-07,"38 Studios, Electronic Arts",3.2,99.0,99.0,"Brawler, RPG",1200.0,22.0,365.0,106.0
742,2395,Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0.0,0.12,0.87,2013-04-16,"NetherRealm Studios, WB Games",3.0,364.0,364.0,"Adventure, Fighting",7100.0,17.0,502.0,112.0
743,2404,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,2000-02-10,"Square, (Archive) Square Product Development Division 4",4.0,503.0,503.0,"Adventure, RPG",1000.0,59.0,1600.0,889.0
744,2404,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,2000-02-10,"Square, (Archive) Square Product Development Division 4",4.0,503.0,503.0,"Adventure, RPG",1000.0,59.0,1600.0,889.0
745,2441,Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,1990-09-01,"Konami, Palcom",3.6,501.0,501.0,"Adventure, Platform",2400.0,36.0,606.0,217.0
746,2446,Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0.0,0.08,0.85,2016-05-24,"Blizzard Entertainment, Square Enix",3.2,957.0,957.0,"Shooter, Strategy",19000.0,436.0,411.0,214.0
747,2450,Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.26,0.1,0.44,0.04,0.85,2016-04-28,"HAL Laboratory, Nintendo",4.2,669.0,669.0,"Adventure, Platform",3600.0,82.0,1000.0,644.0
748,2458,Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.21,0.11,0.1,0.84,2012-03-22,"Capcom, Capcom Production Studio 4",3.9,230.0,230.0,"Brawler, Platform",2200.0,152.0,1100.0,371.0
749,2476,Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,2004-02-09,"Nintendo R&D1, Nintendo",4.0,1200.0,1200.0,"Adventure, Platform, Shooter",7500.0,148.0,1500.0,700.0
